txId,closeness
1076,0.0029632544450389894
2534,0.0020062202937938005
3181,0.003076415729646105
3321,0.0036826959817134693
3889,0.0035783818590349016
5473,0.0034182647245075484
6418,0.004095236381646296
7952,0.004587772459103997
7954,0.0029632544450389894
9351,0.002769698167135976
9363,0.0015760317889101174
9381,0.0024015722497677983
9460,0.002416439513525689
9466,0.003782643666997866
9551,0.0028738935696918733
10247,0.002500627884466426
10254,0.0037179873099549747
10280,0.003610117159951213
10452,0.001766781668123445
11108,0.004998414204240781
11597,0.0017429700717553193
11638,0.0029541256578820355
12051,0.0026310853872109807
12068,0.0022324235931913917
13646,0.0036114898280728675
16134,0.005541361609404372
17122,0.00277077545152615
18589,0.0030475031047011627
18810,0.003163260961755653
28907,0.0034907086541093864
29253,0.0024923165174053114
32496,0.002627231209891514
39370,0.0022154139903199283
39382,0.0018389580344301338
39994,0.003395859223393508
44658,0.003293798953126219
44664,0.0035928199147011626
44703,0.0032632449316874626
45096,0.002049385410205331
45766,0.003689583677779998
47299,0.0025817391268909053
47414,0.0024912270277579053
51816,0.004443942373190027
52635,0.002569470195196563
60857,0.0032899959292800973
62455,0.0021029265493354185
65253,0.00604657878614491
65879,0.005376436784184019
68869,0.004195195984457543
70875,0.006716676579868704
72958,0.003144064299182933
73958,0.008349330249031641
74044,0.003613262386536372
75160,0.006558428270326892
75163,0.006609360677036962
75165,0.006363809748949152
84810,0.0024453491951709656
87778,0.0010175475036407631
89273,0.007508168147612478
102570,0.005955029257984468
104216,0.0030007887217794516
113780,0.004972750965930805
121630,0.003015626494178741
121959,0.003995415942875362
122326,0.002329478385615827
127339,0.002108758854913719
130932,0.002522840037434371
132791,0.002500439851066718
134715,0.002590892613234484
134746,0.0025534963097866145
134767,0.002886437189670938
134785,0.00290935991104509
134789,0.001725533832448026
134922,0.0030221406171894137
135329,0.0027576127214402205
136929,0.002743722307413878
138146,0.00527856887505599
143435,0.0034635937409300903
143705,0.007831231137167282
146673,0.00346064722719037
147421,0.002897565054250043
147434,0.0030146693550036946
148681,0.0019029513884502392
163032,0.002579829554080934
169286,0.004574965554051711
172562,0.005853507016204853
174370,0.002698178306452958
180735,0.0031380595947741504
181624,0.005426878160708836
183452,0.0028738935696918733
183721,0.004816293459795364
187079,0.0029032388087706423
188788,0.005169030539808807
189229,0.0034501200678667128
192081,0.002752825585170243
192947,0.0017464958179121048
193173,0.002547834208124708
195142,0.004727565396411899
