txId,betweenness
1076,0.0
2534,5.254062851273783e-07
3181,6.824810925084408e-05
3321,0.0
3889,1.2183962053378136e-05
5473,1.0058268731922185e-05
6418,4.8483030633551586e-05
7952,9.39885934062584e-05
7954,0.0
9351,0.0
9363,0.0
9381,0.0
9460,0.0
9466,2.8625598327206192e-05
9551,0.0
10247,0.0
10254,8.62421973873266e-06
10280,2.8000734057483456e-06
10452,2.1788677896083332e-07
11108,2.2482713678382284e-07
11597,0.0
11638,1.7261274774459187e-06
12051,3.263092642565759e-07
12068,8.716401344477393e-07
13646,2.3299756227675856e-05
16134,2.7753097780995643e-07
17122,4.35550313271092e-07
18589,2.2774770753577063e-05
18810,3.509278490633136e-06
28907,0.0
29253,0.0
32496,1.7965110473257238e-06
39370,0.0
39382,0.0
39994,1.228869825865121e-06
44658,5.293106502769523e-06
44664,3.1205651021950506e-06
44703,8.160857005279176e-06
45096,4.3566193559637933e-07
45766,3.692818884284932e-05
47299,0.0
47414,8.708773818916094e-07
51816,8.42692744756563e-06
52635,0.0
60857,0.0
62455,0.0
65253,4.29765386794509e-05
65879,0.0
68869,0.0
70875,0.0
72958,2.0049931378127246e-06
73958,1.3475253205429792e-05
74044,7.740069317848391e-06
75160,2.9400856375094707e-06
75163,8.521033235189161e-06
75165,8.682006011515959e-06
84810,5.379759185483606e-06
87778,0.0
89273,0.0007987666315639199
102570,0.00013639028262498783
104216,8.27176312533068e-06
113780,8.93487719009342e-06
121630,0.0
121959,1.5784263993506879e-06
122326,0.0
127339,0.0
130932,2.7394297918523926e-07
132791,0.0
134715,1.1774459879850256e-06
134746,5.251830404768037e-07
134767,5.677964478386236e-06
134785,7.553031533698627e-06
134789,1.157908619241896e-06
134922,1.4237531084423373e-05
135329,3.2778625428060555e-06
136929,7.448457898855083e-07
138146,2.452116623879169e-07
143435,4.846980797117172e-06
143705,8.971001610428142e-05
146673,5.8648896493607e-06
147421,1.9894251574803107e-07
147434,6.639855582415926e-07
148681,2.440175653105931e-06
163032,6.921493338524892e-06
169286,6.666970865029944e-06
172562,3.471822461801016e-05
174370,5.070527878613446e-07
180735,4.147841284507062e-05
181624,8.930171235058723e-06
183452,0.0
183721,0.0
187079,1.7209827731732095e-05
188788,0.0
189229,8.440487608848585e-06
192081,0.0
192947,1.169224676130621e-06
193173,3.219356585437372e-07
195142,0.0
196443,4.00212991895517e-06
199082,0.0
199819,3.585101427600315e-06
200412,1.4131139414382416e-06
201844,6.332029760452835e-05
